"MCC\p2.omega{rad/s},""MCC\p2.T{N.m}"""
0
2.29934805117701e-008,0.000150702019194993
5.12685660902199e-008,0.000351379420412123
1.02412201761366e-007,0.000635507921992897
1.83124377166616e-007,0.00100289860418885
4.40116811966381e-007,0.00198699591727838
8.72166802972239e-007,0.00330222623532873
1.53730163861257e-006,0.00494702969029945
2.49204209410235e-006,0.00691987474310732
5.57346465719538e-006,0.011843733696367
1.80775701936718e-005,0.0255628451060905
4.12857284988864e-005,0.0443656733036671
7.82732852752759e-005,0.0681596339986613
0.000132168182446213,0.0968534435188364
0.000301964611893608,0.168581363901446
0.000574780170791065,0.258844041286203
0.000975171232149246,0.366956628351293
0.00224667976524081,0.634086264463243
0.00404549916991606,0.929062822594116
0.00658415360016401,1.27206634686947
0.00997019405481966,1.65974832168931
0.0143034649726871,2.08892851061915
0.0196765897900091,2.55658679214329
0.0338817375908188,3.59601297674798
0.0531974156609547,4.75677984670003
0.0781353763052617,6.01972677967074
0.109123917123637,7.36757945122971
0.14652160150663,8.7847732764857
0.190622060112319,10.2572881893686
0.241654025556187,11.7724920287631
0.318989038821612,13.796269991919
0.408677956327139,15.8510762810019
0.510840956514006,17.9173504616417
0.625489551788202,19.9780880899792
0.75255063983636,22.018569979516
0.891858344882396,24.0260588388755
1.04318378334438,25.9896188865963
1.20622539902266,27.8998780351846
1.38064081444748,29.748913633786
1.56603163948955,31.530053257602
1.76197622535381,33.2378068995014
1.96800776894042,34.8676659317821
2.18364250483039,36.416087257892
2.40838309990684,37.8804287916888
2.64171640620579,39.2587975943191
2.88311935140834,40.5499992295708
3.1320635726292,41.753494702919
3.65045317323489,43.8977811825853
4.19265672959965,45.6973142873907
4.75455457660509,47.1644419113105
5.33222460862662,48.3166763055448
5.92199043797885,49.1752985396233
6.52044642812236,49.7641853786686
7.12447963445444,50.1088231766824
8.33837272961105,50.1701178253865
9.42513079102036,49.650064770366
10.4957728968757,48.7292769682067
11.5429572959926,47.5288435655438
12.5617456044315,46.1494965552947
13.5491538496846,44.6715911806166
14.5037301004895,43.1566642423152
15.4251831532633,41.6498538604508
16.314057236515,40.1826356015271
17.1714616731499,38.7755763050533
17.9988572782892,37.4408757336927
18.7978981545566,36.1845594973566
19.5703188024137,35.0082626689041
20.3178555864247,33.9106224265331
21.0421932515713,32.8883358280824
21.7449307278876,31.9369465281023
22.427561937614,31.0514135165598
23.0914677329959,30.2265059414815
23.7379151795699,29.4570632685974
24.3680611981113,28.7381568024998
24.9829586542614,28.0651825657922
25.5835638617004,27.4339076367406
26.7452903716464,26.2813965148098
27.8592713421573,25.2542942675719
28.9305051620203,24.3315898845697
29.9631752447925,23.4965692209134
30.9608155378613,22.7358736805355
31.9264361917788,22.0388019264684
32.8626239521566,21.3967454526794
33.7716249036264,20.8027039576467
35.5156712395169,19.7365783379305
37.0065621689568,18.8941648611952
38.4343154384869,18.1405435905543
39.6706435017563,17.5260664387445
40.8649872324143,16.9633718137949
42.0207515776614,16.4456851747505
43.1409112118887,15.9673944422414
44.2280876575819,15.5237823435732
45.2846012574213,15.1109176023502
46.3125110880012,14.7254756140601
47.3136595523084,14.3646298836459
48.2896994238489,14.0259221319844
49.2421271143109,13.7072252356404
50.1722945041421,13.4066801847249
51.0814350509376,13.1226763335619
51.9706699263134,12.8537898666606
52.8410306357881,12.5987664664934
53.693459829678,12.3564805790385
54.528830088976,12.1259371528463
55.347941807939,11.9062408485103
56.1515407265951,11.6965979806508
56.9403136894639,11.4962840009222
57.7149046724874,11.3046527595258
58.4759077155935,11.1211068212678
59.9593627632965,10.7761913089521
61.3947102084569,10.457789713619
62.7854964190618,10.1627858779653
64.1348646712824,9.88853762343573
65.4456166331832,9.63279869038485
66.720258984233,9.39364334407906
69.1699811617476,8.9586866226893
71.4995678267691,8.5728265670088
73.7218776564931,8.22777915568375
75.847676214808,7.91703107527204
77.8860703311046,7.63548220554011
79.8448265724188,7.37894377080887
81.7306609648761,7.14413062134811
83.5493969408648,6.92812916713984
85.3061702338309,6.72877646153266
87.0055009412159,6.5441151141615
88.6513765420995,6.37242819157288
90.2473542687832,6.21236240962658
91.7966137123537,6.06265506850656
93.3020543244825,5.9224640023543
94.7662825759731,5.79069494253433
96.1916039004941,5.66654855942052
97.5801732020378,5.54946673038365
98.9339835138383,5.43880444734451
100.254849568545,5.33406498793471
101.544395428727,5.23460902509971
102.804120887763,5.14020556352722
104.035722264871,5.05030845734911
105.054365717854,4.97778783055512
106.054412970273,4.90810607586919
107.03654305426,4.8410647856148
108.001397549257,4.7765278457932
108.949481559979,4.71435955458207
110.797842911253,4.59663519487
112.585957388567,4.4869120900319
114.317722010858,4.38436155274911
115.996600850017,4.2882710716057
117.625697002264,4.19802646961305
120.745695585683,4.03297826839165
123.409217226869,3.89968189711542
125.948429483065,3.77867919931985
128.373770159578,3.66829713480699
130.694380559583,3.5671568743716
132.918291943382,3.47411435823547
135.052587895287,3.38820823882092
139.076699862192,3.23468199028898
142.432323934712,3.11452339442427
145.579506388988,3.0078078449356
148.539246762569,2.91241402941108
151.329264811375,2.82654254617511
153.707904338918,2.75634563279813
155.971312695121,2.69193068681579
158.128079827457,2.63261374146134
160.185824400077,2.57786220814036
162.151372748446,2.52712921337704
164.030850962129,2.47999375197275
165.829713575439,2.43611962555681
167.55310604679,2.39517117039145
169.20550181166,2.35688378769007
170.791047799637,2.32097846395359
172.313561596478,2.28728296369115
173.776544878366,2.25558886955303
175.183213504454,2.22573294787246
176.536528382998,2.1975649009372
177.839228102857,2.17095329965105
180.302845249103,2.12193066336826
182.592306371029,2.07784869757885
184.72343554859,2.03803775736197
186.710122494157,2.00194870676876
188.56464834931,1.96911805796891
190.29792217465,1.93916053783478
191.919660385227,1.91174426678812
193.438545702702,1.88659286784613
194.862391855961,1.86346210505405
196.198274293586,1.84214670107937
197.452584549306,1.82246189519446
198.631137847815,1.8042538475749
199.739217066719,1.78738065715739
200.781655186278,1.77172611190278
201.762866921568,1.75717249742418
202.68693012227,1.74363875672972
203.557560114833,1.73101570294942
204.378181437105,1.71925538446288
205.152000677596,1.70826696538438
205.882006686457,1.69801669561016
206.570883867129,1.68839333548365
207.221160729392,1.67941060219151
207.835638681827,1.67099095289894
208.415908264689,1.66307116332788
208.964017877816,1.65568010938708
209.482243368447,1.64871751297736
209.924358317302,1.64280399597993
210.344578860032,1.63721865043458
210.744099884071,1.63193127246349
211.124051246446,1.62693646256401
211.485447935718,1.62219507543045
211.829185518196,1.61771820894511
212.156182988836,1.61346406630626
212.467370019346,1.60945209717724
212.763502860117,1.60561374835461
213.045370106861,1.60200019452387
213.313850649942,1.59856788347962
213.569438469041,1.59529742528728
213.812774452149,1.59220816174402
214.044447858857,1.58925330022582
214.265084761354,1.5864807400823
214.475266569411,1.58382239166698
214.675423984585,1.58130066739835
214.866037905696,1.57889624610479
215.04760861597,1.57662801357109
215.220556967448,1.57444999639
215.385349198845,1.5724137086716
215.542396867486,1.57045124792409
215.692016675111,1.56859025646276
215.834550900262,1.5668093100255
215.970376663978,1.56513623795479
216.099786040843,1.56351607038813
216.223151718607,1.56199899394965
216.340699708031,1.56054346401601
216.45274288014,1.55917817435822
216.559561646644,1.55786089127902
216.661366502318,1.55660951279289
216.758385526143,1.55541123557674
216.850869001594,1.55428363144097
216.939012574027,1.55319192412614
217.023061288886,1.55218103072947
217.103205993106,1.55119610842887
217.179606336685,1.55026364872698
217.252421045708,1.54936451000074
217.321850470163,1.54852881545721
217.388019623363,1.5477037919954
217.45112901865,1.5469422527449
217.511285944895,1.54620668768976
217.56865996418,1.54552354828114
217.623344862664,1.54484149666189
217.674314135943,1.54423415974071
217.714335349374,1.54374857022218
217.752710735019,1.54328293796649
217.789674452233,1.54283467433612
217.860574534832,1.54197546059595
217.926621625194,1.54117571426709
217.98785617662,1.54043476621738
218.097425810058,1.53911033006456
218.191407430282,1.53797565702238
218.271903892729,1.53700478473426
218.34081334129,1.53617440295484
218.449559793442,1.53486537332018
218.528860193391,1.53391199937473
218.587586359605,1.53320629798059
218.630682025834,1.53268884160835
218.662387051558,1.53230831768485
218.668975998152,1.53222924191033
218.673862754109,1.53217060767935
218.67654610668,1.53213841274845
218.67785135361,1.53212275268045
218.678772471104,1.53211170146952
218.677840369049,1.53212219973806
218.677840369049,1.53212219973806
218.67784415191,1.53212226286028
218.677845659862,1.53212238027203
218.677852097831,1.53212242838645
218.677841792108,1.53212254132943
218.677728526592,1.53212362588808
218.677132042716,1.53213009437118
218.674464650858,1.53216068047157
218.670328209951,1.53220889030665
218.664728076618,1.53227466537074
218.650109158333,1.53244725860272
218.630151951441,1.53268395822603
218.604510544198,1.53298896979445
218.536055288326,1.53380560408611
218.332199365246,1.53624694511972
218.040778637933,1.53975201328361
217.664237688056,1.54430203510386
217.205042342277,1.54988066595296
216.047573599377,1.56408243321527
214.587395204885,1.58229037650226
212.843966267895,1.60444306762636
210.835932232545,1.63055954936442
208.580971106491,1.66062731458373
206.096223849929,1.69478588230065
203.398840159626,1.73302868522417
200.803715721716,1.77106733195704
198.063049971058,1.81262189981435
195.189453396866,1.85778974280548
189.093973387331,1.95936270793381
182.618835141165,2.07667004117592
175.866502088246,2.21060001288777
168.940033432084,2.36191950218672
162.642084573607,2.513386945149
156.985229586546,2.66223423920352
151.392836104063,2.82278485379777
146.455395322611,2.9769194821808
141.642687234242,3.13963888849939
136.984014368187,3.31020753538373
132.504532154376,3.48767791335449
128.224578310033,3.67092204864537
124.159648633924,3.85865896127448
120.319173520882,4.04959072835842
116.706752294652,4.24245204682459
113.321144700139,4.4360312414768
110.156344788824,4.62918575472209
106.968355326853,4.83674513694639
104.011904822243,5.04205999811877
101.269666712937,5.24467718845456
98.7209547087673,5.44360528434225
97.1236852682348,5.57417684758983
95.5974202400288,5.70351332187377
94.1371682026826,5.83146553600969
92.7379404394881,5.95806015567972
91.3950242473601,6.08361439798677
90.1040640384351,6.20819909371416
88.8609425702173,6.33154181186523
87.6619933593558,6.45410806300078
86.6180160624266,6.56380700319109
85.6051020931498,6.67291041356331
84.6212230210536,6.78147147367432
83.6646368089637,6.88961346850419
82.7337792972093,6.99739212765645
81.8271786132435,7.10477687908578
80.9434447747107,7.21180176341851
80.0814061045635,7.31858810790747
79.2400535709941,7.42519180173779
78.4183674267071,7.53147869221748
77.615357091267,7.63748492302406
76.8302176969069,7.74342718828443
76.0623526051671,7.84927163188091
75.3108648251802,7.95482897345612
74.574902192963,8.06016037098778
73.8540278481257,8.16554376705569
73.1478594613985,8.27093363046265
72.4557700504677,8.3760209951839
71.777130009333,8.48099869169988
71.1115656767603,8.58601158116117
70.4586947875734,8.69095270560083
69.8178513103302,8.79566212078104
69.1886335057251,8.90035740748077
68.5707416056036,9.00508717421075
67.9639380037595,9.10974370872494
67.3677704181573,9.21429322271625
66.7818930131696,9.3188013495699
66.2061638156846,9.42331130877281
65.6402878259276,9.52776478411195
65.0838112287845,9.63209130123488
64.536357988601,9.73637110484074
63.9978539846266,9.840742409661
63.4682223549999,9.94512840539821
62.9468371654267,10.0492697672089
62.4333372388437,10.1534184563607
62.0031226568844,10.2421428483522
