"MCC\p2.omega{rad/s}","MCC\p2.T{N.m}"
0,-0
1.64245926338404e-009,2.4463400867691e-005
6.96536951563513e-009,8.82728365759638e-005
4.73722917090965e-008,0.000334357408988705
1.16262534967749e-007,0.000669425026468648
2.35485406849517e-007,0.00111919094769435
4.13582149369464e-007,0.00168339572192883
9.46871277395659e-007,0.00315451684224437
1.81699559202422e-006,0.00508056464144547
3.12662367417952e-006,0.00745921721522355
7.58747731039279e-006,0.013565286263555
1.49805688128691e-005,0.0214549831769836
4.23391530605126e-005,0.0425153135433418
9.02736715334641e-005,0.0705013039624852
0.000164212113106455,0.105276357780644
0.000269627633603384,0.146706186855875
0.000594532586206589,0.249002871418563
0.0011069062661524,0.376360462723425
0.00184932772180236,0.527785001553253
0.00417587357792561,0.899019231613526
0.0072577487163522,1.28622752874817
0.0115222695066191,1.73193051702936
0.0171300280365558,2.23203202592151
0.024229892801974,2.78267233560166
0.0329600679496318,3.38021577136127
0.0558188771197396,4.70252668930215
0.0866234801620599,6.17392054926814
0.126146920260366,7.77219125623698
0.175045773096799,9.47768746429916
0.233881391461677,11.2730696169941
0.303127175882465,13.1430583218641
0.383169797645706,15.0741775439895
0.495768473083015,17.4933567866388
0.625296360906682,19.9671429856154
0.772071752220743,22.4796629199374
0.936320580524006,25.017484515331
1.1181716249344,27.5692005499605
1.31769107509148,30.1252383420064
1.5348702720119,32.6775133760339
1.76966660782868,35.2193483491898
2.02197618799902,37.7451402886143
2.29168393983224,40.2503699319762
2.57862187471416,42.7311932319812
2.88260814245071,45.1845354338201
3.20344748229787,47.6081297967003
3.54092935954212,50.0001487385483
3.89483066480387,52.3592319563776
4.2649210869652,54.6844769867623
4.65096238260437,56.97508359534
5.05271072066122,59.2305915641261
5.46992132724897,61.4506018428363
5.90234517316423,63.6351010897972
6.34973912380268,65.7840508974539
6.81185250583979,67.8977748759639
7.46701133098427,70.7308027949315
8.14861756347794,73.4992869110391
8.85606613901438,76.2044288194022
9.58876007202781,78.8475126214615
10.3461152958142,81.4298529194692
11.9325332714434,86.4179437318384
13.4390606762425,90.7128562469313
15.0169999495058,94.8304690984276
16.6633780208016,98.7773262322133
18.3753378922713,102.56008558685
20.1501424886299,106.184694299065
23.877677198877,112.978032775579
27.2248022063628,118.298788520393
30.3637346864372,122.737143531489
33.6136542309777,126.854219190275
36.9662653577238,130.65838277502
40.4134753669652,134.157078263972
43.9473904936098,137.356702523229
47.56027525773,140.263325298908
51.2445535802108,142.882732869744
54.9927976968175,145.220716277859
58.7977324482816,147.283056663741
62.6522290484963,149.075620428634
70.4821974551076,151.874774712979
78.4288260518406,153.666186516155
86.4407823774335,154.500616935971
94.4694818000403,154.430486387173
102.469176445905,153.509083250394
110.396923052512,151.791601163327
118.212657875515,149.335529237628
125.879387236067,146.198788902086
133.36322591002,142.438342658148
140.633238943242,138.111413365069
147.661393999045,133.27646908456
154.422728969771,127.991299108162
160.895402302648,122.31113947027
167.060440262703,116.29011553824
172.901518197159,109.982927386085
178.405068035728,103.442819196908
183.560417311914,96.7190286113136
188.359557134874,89.8585326945755
192.796670216409,82.908773473441
196.868271201958,75.9150369419654
200.57328068995,68.9185726140328
203.912828479477,61.957474280976
206.889932000582,55.0683427737954
209.509316252582,48.2861741776148
211.777415933665,41.6429459075541
213.702363762222,35.1670406811235
215.293812900119,28.8841385802882
216.562618716261,22.8181578166613
217.520683173554,16.9905344787525
218.180960095994,11.4196203555354
218.55744414826,6.12109597271555
218.665830532584,1.5964845591223
218.567421563803,-2.68831834295678
218.311485548335,-6.33407510646185
217.905861634843,-9.77640226742281
217.359281695782,-13.0124263642843
216.680557586071,-16.0401570371398
215.878532109787,-18.8584887741504
214.962086431172,-21.4671329235466
213.940124251552,-23.8665574359082
211.614930853817,-28.0434574951795
209.295996464985,-31.0549665910574
206.776688066269,-33.4514189804837
204.102145362969,-35.2571378388573
201.315447613838,-36.5011051996759
198.457347820683,-37.2162137210753
195.565999245836,-37.4385724804123
192.676756421942,-37.2068166728682
187.031092750962,-35.5444314687913
182.249527651424,-32.9126299651918
177.883640318606,-29.4617304090179
174.387372306953,-25.8544672208778
171.349750314719,-21.943886403166
168.797799247156,-17.8825010335069
166.740964092012,-13.8069630699515
165.173119851726,-9.83618893095207
164.164365608094,-6.43531001958667
163.514406087537,-3.2607143148445
163.195701185048,-0.359954648592367
163.15253275922,1.47828852771502
163.242603372335,3.1578980633299
163.453583483386,4.67282145067823
163.772791230947,6.01942467083516
164.187363227239,7.19634508625339
164.684416451356,8.2043097434358
165.251201387772,9.04593970772925
165.875240675542,9.72555790517169
167.247202736848,10.6234259054075
168.710143754718,10.9592613803847
170.184530118202,10.8093841639988
171.603243624429,10.25923513498
172.912512280458,9.39808793070947
174.072114023614,8.31449126694227
174.9651746813,7.21863216740827
175.703674031168,6.06692965629821
176.232744408597,5.02404115089559
176.634828535156,4.00788717410974
176.914984846231,3.04496078085666
177.081200804187,2.15666741712255
177.143774020949,1.35931784603751
177.114696571618,0.664318808649594
177.020975497875,0.132089642740357
176.890444267279,-0.269408358669053
176.723774324053,-0.597572669070059
176.528204233342,-0.853974146258019
176.310759000856,-1.04144036183061
176.07810491554,-1.16384040303435
175.836499845122,-1.22591063797783
175.591661421977,-1.23302612176827
175.348758695333,-1.19106013322275
175.112371830292,-1.1062247866304
174.886453821162,-0.984899317037997
174.674305273653,-0.833478660337068
174.478588234559,-0.658239477033602
174.30134279584,-0.465231024391583
174.144028609416,-0.260195210722726
174.007562037143,-0.0484917051043726
173.892349162073,0.164977678564546
173.79832888681,0.375819551638257
173.72502680584,0.580174363658166
173.671614393295,0.774727143743269
173.636961666035,0.956723988306969
173.619695437208,1.12395551610286
173.618248933043,1.27475503232043
173.630917426387,1.40795054842116
173.655903697361,1.52285887537166
173.691367106506,1.61922344538365
173.735460451341,1.69717577696355
173.786371514928,1.75719170458106
173.842348433093,1.80005798306557
173.901736123291,1.82680961530385
173.962988543653,1.83869592245866
174.024699752672,1.83710531594885
174.085600710433,1.82355663215385
174.144582693503,1.79962587318093
174.200695607746,1.76691908267317
174.253153444855,1.72702991048826
174.30132180481,1.68152871148976
174.344721899196,1.63192926196125
174.383019164665,1.57966396164795
174.416019533362,1.52605664910621
174.443653611591,1.47231174403694
174.465967049453,1.41950092719806
174.483107525861,1.36856067120798
174.495304189139,1.32028800687881
174.506142161743,1.23424086242722
174.502920660017,1.17336393712557
174.490416714129,1.12617818722867
174.473202386248,1.09556816097456
174.452123081763,1.07574603003191
174.428787252787,1.06584433918795
174.404639157812,1.06467971461289
174.380922371743,1.07086176098422
174.353549270418,1.08653550977289
174.329859857003,1.10834577761734
174.310756624344,1.13354531750955
174.29664210219,1.1597033465424
174.287494191205,1.18480998764599
174.282951258152,1.20733231342999
174.282401171978,1.22621717072166
174.285078818975,1.24089043686246
174.290150535913,1.25119062700179
174.296777765497,1.25727988770819
174.304192888318,1.2595808088817
174.311714043324,1.25869353348733
174.318812973317,1.25531726215207
174.325063321497,1.25019979918932
174.330230366929,1.24402441314589
174.334170738946,1.23743186382972
174.33683819968,1.23097092111579
174.338297858701,1.2250638283991
174.338688570277,1.2200208763084
174.338204551462,1.21601757508705
174.337059391782,1.2131281183319
174.33546944052,1.21132297176384
174.333690035042,1.21050825692337
174.331834439287,1.21049309510804
174.33003995881,1.2111283202763
174.328411823483,1.2122501953053
174.327026733234,1.21369119371637
174.325677259326,1.21574958759243
174.324824996897,1.21779444238963
174.324441460365,1.21961285409726
174.324455183813,1.22106633732841
174.324728291325,1.22200184336177
174.325167005537,1.22258382909313
174.325696641757,1.22283825700579
174.326251104918,1.22281467739775
174.326776598467,1.22257591117203
174.327231086573,1.22218996309825
174.327590606758,1.22172397556573
174.327844684217,1.22123840776855
174.327995796602,1.22078056871165
174.328054294454,1.22038431403547
174.32795629121,1.21984699160155
174.327701465057,1.21966451109321
174.327431779563,1.2197517360355
174.327238686772,1.21997176237414
174.327152019141,1.22019943650391
174.327154407173,1.2203583745727
174.327204485263,1.22042723877202
174.327264055949,1.22042553799075
174.327278465542,1.22039966139903
174.327278465542,1.22039966139903
174.32727848985,1.22039964907367
174.327278539174,1.22039962421764
174.327278578298,1.22039957481773
174.327278501605,1.22039947656012
174.327277728491,1.22039928731639
174.327273704041,1.22039897835477
174.327255752718,1.22039895590762
174.327180400785,1.22040373212033
174.326874307851,1.22045045588245
174.326504556329,1.22052664863694
174.326018225538,1.22065491665386
174.325551080346,1.22079243663509
174.325013403986,1.22097072665719
174.324474410569,1.22116652844114
174.323881091722,1.22140123965676
174.323302374008,1.22164837013348
174.322682288385,1.22193066782602
174.322022162823,1.22224963389394
174.320612242713,1.22297765636322
174.319066762284,1.22385069737017
174.317385832167,1.22488565769656
174.315578850077,1.22609132807151
174.313657798502,1.22747148833733
174.31163587168,1.22902787483245
174.307341222883,1.2326624904718
174.302795306441,1.23697287528577
174.298092491687,1.24191335819539
174.293318944132,1.24741913677849
174.288550536142,1.25341206588225
174.283852768076,1.25980688220604
174.279276822314,1.26651389540723
174.270632725728,1.28052247368601
174.263906697555,1.29265741219161
174.257761321215,1.30466884991486
