"MCC\p2.omega{rad/s}","MCC\p2.T{N.m}"
0,-0
8.21209460667827e-009,0.000122317004256819
3.4250064494545e-008,0.000436787726067931
8.15601210299676e-008,0.000885152020789774
1.65339185186226e-007,0.0014899053891537
2.90540866209383e-007,0.00225087177181778
6.64338575728786e-007,0.00424102265047082
1.27793146467979e-006,0.00685400698090023
2.20347315692733e-006,0.0100881815593949
5.35752378618847e-006,0.0184136300153087
1.05975958957862e-005,0.0292046489149527
3.00712228963507e-005,0.0581328830483667
6.43217788808174e-005,0.0967722953828256
0.000117338755464993,0.14502316599805
0.000193180678231137,0.202786654586229
0.000428117324379501,0.346459925813419
0.000800875367889203,0.527018121112203
0.00134425827740921,0.74370166261127
0.00306487670876633,1.28247114315439
0.00583038261190654,1.95695153369267
0.00986985465818756,2.76152637433653
0.0154023885653464,3.6907720277788
0.0226378697414782,4.73945043240107
0.0430163106367639,7.17504101190714
0.0725128273319194,10.0298331091315
0.112505918179767,13.2678781811236
0.164254930142472,16.8555397317073
0.228907999530291,20.7613038470969
0.307508553413386,24.955603892601
0.401000790884508,29.4106586060933
0.635981170912189,38.9999933120088
0.939642654783109,49.3376100320201
1.27544406452723,59.1394892243512
1.67311749004522,69.2963649392228
2.13453966514988,79.7061407483203
2.66098201532096,90.2758061841555
3.25316492301273,100.920503024792
3.91130645863289,111.562758852321
4.63516625521201,122.131848200249
5.42408530006128,132.563251040125
7.19258239249211,152.783115547872
9.20448759966747,171.814082163362
11.4429162638112,189.323008503309
13.8872768336526,205.042966858533
16.5140371546532,218.765504016586
19.2974068380701,230.333920195096
22.2099456463911,239.637380467794
25.2231010425368,246.605641824748
28.3076802083117,251.204293406316
31.4342657574335,253.430510144229
34.5735834956049,253.309317668192
37.6968274899452,250.890315355549
40.7759464233888,246.244782244214
43.7838955918207,239.463103882489
46.694858863528,230.652474247181
49.4844439363071,219.934829541699
52.1298532199484,207.444968008563
56.9057370697762,177.741566142668
60.8771219473642,142.814615074088
