Ang	F_x		F_y		T
0	0.023135	10.532008	-0.000138
15	2.542268	10.374295	-0.020880
30	5.230519	9.610338	-0.039303
45	7.733991	7.853986	-0.054193
60	9.483233	5.388002	-0.066413
75	10.260528	2.631407	-0.074891
90	10.437333	0.114499	-0.078108
105	10.270088	-2.409278	-0.075069
120	9.451404	-5.118866	-0.066311
135	7.740320	-7.577305	-0.054224
150	5.263006	-9.329092	-0.039397
165	2.510753	-10.119149	-0.020506
180	0.007096	-10.284863	0.000159
195	-2.488836	-10.145661	0.020663
210	-5.242846	-9.323015	0.039402
225	-7.690987	-7.588502	0.054131
240	-9.426125	-5.112181	0.066300
255	-10.241657	-2.394096	0.075048
270	-10.411271	0.132278	0.078133
285	-10.226645	2.644531	0.074929
300	-9.459879	5.397593	0.066380
315	-7.698286	7.844940	0.054221
330	-5.198387	9.623076	0.039252
345	-2.505439	10.354893	0.020792
